Page Title,Date,Number of Visits
Main_Page,12-11-2022,12347103
Main_Page,13-11-2022,12274201
Main_Page,14-11-2022,13361470
Main_Page,15-11-2022,12199399
Main_Page,16-11-2022,12756755
Main_Page,17-11-2022,11149615
Main_Page,18-11-2022,10047442
Main_Page,19-11-2022,11623619
Main_Page,20-11-2022,18762643
Main_Page,21-11-2022,12843078
Main_Page,22-11-2022,12322676
Main_Page,23-11-2022,13084339
Main_Page,24-11-2022,11982666
Main_Page,25-11-2022,11230061
Main_Page,26-11-2022,12509966
Main_Page,27-11-2022,12366031
Main_Page,28-11-2022,15186099
Main_Page,29-11-2022,13587923
Main_Page,30-11-2022,13327452
Main_Page,01-12-2022,12827527
Main_Page,02-12-2022,11457056
Main_Page,03-12-2022,12613289
Main_Page,04-12-2022,12928728
Main_Page,05-12-2022,15002049
Main_Page,06-12-2022,14744068
Main_Page,07-12-2022,13021132
Main_Page,08-12-2022,12296940
Main_Page,09-12-2022,11729715
Main_Page,10-12-2022,12722312
Main_Page,11-12-2022,12324757
Main_Page,12-12-2022,13225148
Main_Page,13-12-2022,12889917
Main_Page,14-12-2022,12510625
Main_Page,15-12-2022,11141727
Main_Page,16-12-2022,10210732
Main_Page,17-12-2022,11539830
Main_Page,18-12-2022,11672880
Main_Page,19-12-2022,12619951
Main_Page,20-12-2022,12501660
Main_Page,21-12-2022,12250602
Main_Page,22-12-2022,11786308
Main_Page,23-12-2022,10714591
Main_Page,24-12-2022,11837961
Main_Page,25-12-2022,11919579
Main_Page,26-12-2022,12983988
Main_Page,27-12-2022,17036904
Main_Page,28-12-2022,13140684
Main_Page,29-12-2022,11953388
Main_Page,30-12-2022,11822501
Main_Page,31-12-2022,12732550
Main_Page,01-01-2023,13065679
Main_Page,02-01-2023,14745134
Main_Page,03-01-2023,13562385
Main_Page,04-01-2023,13578026
Main_Page,05-01-2023,12844245
Main_Page,06-01-2023,11919681
Main_Page,07-01-2023,13588270
Main_Page,08-01-2023,12934250
Main_Page,09-01-2023,13919538
Main_Page,10-01-2023,13190296
Main_Page,11-01-2023,13190186
Main_Page,12-01-2023,12591881
Special:Search,12-11-2022,1848680
Special:Search,13-11-2022,1885242
Special:Search,14-11-2022,1818893
Special:Search,15-11-2022,1697993
Special:Search,16-11-2022,1832818
Special:Search,17-11-2022,1951747
Special:Search,18-11-2022,1710193
Special:Search,19-11-2022,1525567
Special:Search,20-11-2022,1545806
Special:Search,21-11-2022,1602607
Special:Search,22-11-2022,1593004
Special:Search,23-11-2022,1511269
Special:Search,24-11-2022,1412025
Special:Search,25-11-2022,1342100
Special:Search,26-11-2022,1312722
Special:Search,27-11-2022,1405258
Special:Search,28-11-2022,1462679
Special:Search,29-11-2022,1453866
Special:Search,30-11-2022,1459733
Special:Search,01-12-2022,1422284
Special:Search,02-12-2022,1417048
Special:Search,03-12-2022,1317055
Special:Search,04-12-2022,1334541
Special:Search,05-12-2022,1409791
Special:Search,06-12-2022,1460774
Special:Search,07-12-2022,1365586
Special:Search,08-12-2022,1654303
Special:Search,09-12-2022,1941960
Special:Search,10-12-2022,1712166
Special:Search,11-12-2022,1668617
Special:Search,12-12-2022,1654432
Special:Search,13-12-2022,1475144
Special:Search,14-12-2022,1430074
Special:Search,15-12-2022,1399764
Special:Search,16-12-2022,1381024
Special:Search,17-12-2022,1249847
Special:Search,18-12-2022,1263186
Special:Search,19-12-2022,1304183
Special:Search,20-12-2022,1313457
Special:Search,21-12-2022,1305602
Special:Search,22-12-2022,1313899
Special:Search,23-12-2022,1243420
Special:Search,24-12-2022,1186998
Special:Search,25-12-2022,1104292
Special:Search,26-12-2022,1226517
Special:Search,27-12-2022,1322192
Special:Search,28-12-2022,1365364
Special:Search,29-12-2022,1339454
Special:Search,30-12-2022,1329434
Special:Search,31-12-2022,1219274
Special:Search,01-01-2023,1289345
Special:Search,02-01-2023,1509687
Special:Search,03-01-2023,1556829
Special:Search,04-01-2023,1485366
Special:Search,05-01-2023,1780707
Special:Search,06-01-2023,2051077
Special:Search,07-01-2023,1684108
Special:Search,08-01-2023,1571068
Special:Search,09-01-2023,1547870
Special:Search,10-01-2023,1580659
Special:Search,11-01-2023,1695656
Special:Search,12-01-2023,1566656
Mária_Telkes,12-11-2022,26
Mária_Telkes,13-11-2022,24
Mária_Telkes,14-11-2022,61
Mária_Telkes,15-11-2022,47
Mária_Telkes,16-11-2022,46
Mária_Telkes,17-11-2022,52
Mária_Telkes,18-11-2022,48
Mária_Telkes,19-11-2022,23
Mária_Telkes,20-11-2022,23
Mária_Telkes,21-11-2022,46
Mária_Telkes,22-11-2022,42
Mária_Telkes,23-11-2022,70
Mária_Telkes,24-11-2022,47
Mária_Telkes,25-11-2022,29
Mária_Telkes,26-11-2022,44
Mária_Telkes,27-11-2022,30
Mária_Telkes,28-11-2022,41
Mária_Telkes,29-11-2022,40
Mária_Telkes,30-11-2022,61
Mária_Telkes,01-12-2022,67
Mária_Telkes,02-12-2022,105
Mária_Telkes,03-12-2022,36
Mária_Telkes,04-12-2022,39
Mária_Telkes,05-12-2022,53
Mária_Telkes,06-12-2022,87
Mária_Telkes,07-12-2022,67
Mária_Telkes,08-12-2022,43
Mária_Telkes,09-12-2022,43
Mária_Telkes,10-12-2022,24
Mária_Telkes,11-12-2022,51724
Mária_Telkes,12-12-2022,835338
Mária_Telkes,13-12-2022,86949
Mária_Telkes,14-12-2022,13972
Mária_Telkes,15-12-2022,7311
Mária_Telkes,16-12-2022,5085
Mária_Telkes,17-12-2022,3638
Mária_Telkes,18-12-2022,2832
Mária_Telkes,19-12-2022,2489
Mária_Telkes,20-12-2022,2084
Mária_Telkes,21-12-2022,1943
Mária_Telkes,22-12-2022,1707
Mária_Telkes,23-12-2022,1393
Mária_Telkes,24-12-2022,1238
Mária_Telkes,25-12-2022,1200
Mária_Telkes,26-12-2022,1183
Mária_Telkes,27-12-2022,1098
Mária_Telkes,28-12-2022,1037
Mária_Telkes,29-12-2022,872
Mária_Telkes,30-12-2022,894
Mária_Telkes,31-12-2022,749
Mária_Telkes,01-01-2023,829
Mária_Telkes,02-01-2023,753
Mária_Telkes,03-01-2023,953
Mária_Telkes,04-01-2023,809
Mária_Telkes,05-01-2023,739
Mária_Telkes,06-01-2023,746
Mária_Telkes,07-01-2023,579
Mária_Telkes,08-01-2023,335
Mária_Telkes,09-01-2023,391
Mária_Telkes,10-01-2023,397
Mária_Telkes,11-01-2023,318
Mária_Telkes,12-01-2023,333
The_White_Lotus,12-11-2022,40213
The_White_Lotus,13-11-2022,46946
The_White_Lotus,14-11-2022,82546
The_White_Lotus,15-11-2022,64536
The_White_Lotus,16-11-2022,51900
The_White_Lotus,17-11-2022,44239
The_White_Lotus,18-11-2022,39811
The_White_Lotus,19-11-2022,45436
The_White_Lotus,20-11-2022,51115
The_White_Lotus,21-11-2022,94960
The_White_Lotus,22-11-2022,72457
The_White_Lotus,23-11-2022,60037
The_White_Lotus,24-11-2022,46946
The_White_Lotus,25-11-2022,41976
The_White_Lotus,26-11-2022,46499
The_White_Lotus,27-11-2022,57024
The_White_Lotus,28-11-2022,143130
The_White_Lotus,29-11-2022,110627
The_White_Lotus,30-11-2022,81871
The_White_Lotus,01-12-2022,67896
The_White_Lotus,02-12-2022,57065
The_White_Lotus,03-12-2022,60573
The_White_Lotus,04-12-2022,74847
The_White_Lotus,05-12-2022,173128
The_White_Lotus,06-12-2022,131000
The_White_Lotus,07-12-2022,101346
The_White_Lotus,08-12-2022,87906
The_White_Lotus,09-12-2022,78725
The_White_Lotus,10-12-2022,91381
The_White_Lotus,11-12-2022,128405
The_White_Lotus,12-12-2022,325949
The_White_Lotus,13-12-2022,245389
The_White_Lotus,14-12-2022,168498
The_White_Lotus,15-12-2022,139800
The_White_Lotus,16-12-2022,122648
The_White_Lotus,17-12-2022,129839
The_White_Lotus,18-12-2022,121775
The_White_Lotus,19-12-2022,111170
The_White_Lotus,20-12-2022,97692
The_White_Lotus,21-12-2022,88966
The_White_Lotus,22-12-2022,81123
The_White_Lotus,23-12-2022,77550
The_White_Lotus,24-12-2022,70993
The_White_Lotus,25-12-2022,60368
The_White_Lotus,26-12-2022,77295
The_White_Lotus,27-12-2022,84908
The_White_Lotus,28-12-2022,83250
The_White_Lotus,29-12-2022,80439
The_White_Lotus,30-12-2022,78169
The_White_Lotus,31-12-2022,75081
The_White_Lotus,01-01-2023,80410
The_White_Lotus,02-01-2023,97723
The_White_Lotus,03-01-2023,81251
The_White_Lotus,04-01-2023,73380
The_White_Lotus,05-01-2023,65035
The_White_Lotus,06-01-2023,64837
The_White_Lotus,07-01-2023,68666
The_White_Lotus,08-01-2023,74883
The_White_Lotus,09-01-2023,65340
The_White_Lotus,10-01-2023,59104
The_White_Lotus,11-01-2023,152992
The_White_Lotus,12-01-2023,101427
2022_FIFA_World_Cup,12-11-2022,232094
2022_FIFA_World_Cup,13-11-2022,283692
2022_FIFA_World_Cup,14-11-2022,299875
2022_FIFA_World_Cup,15-11-2022,343861
2022_FIFA_World_Cup,16-11-2022,362867
2022_FIFA_World_Cup,17-11-2022,405990
2022_FIFA_World_Cup,18-11-2022,433141
2022_FIFA_World_Cup,19-11-2022,638921
2022_FIFA_World_Cup,20-11-2022,2431072
2022_FIFA_World_Cup,21-11-2022,1665046
2022_FIFA_World_Cup,22-11-2022,1703193
2022_FIFA_World_Cup,23-11-2022,1539580
2022_FIFA_World_Cup,24-11-2022,1944893
2022_FIFA_World_Cup,25-11-2022,2308470
2022_FIFA_World_Cup,26-11-2022,2546049
2022_FIFA_World_Cup,27-11-2022,2854908
2022_FIFA_World_Cup,28-11-2022,2738443
2022_FIFA_World_Cup,29-11-2022,2514121
2022_FIFA_World_Cup,30-11-2022,2824742
2022_FIFA_World_Cup,01-12-2022,2405069
2022_FIFA_World_Cup,02-12-2022,1535315
2022_FIFA_World_Cup,03-12-2022,893352
2022_FIFA_World_Cup,04-12-2022,743529
2022_FIFA_World_Cup,05-12-2022,745568
2022_FIFA_World_Cup,06-12-2022,770382
2022_FIFA_World_Cup,07-12-2022,450785
2022_FIFA_World_Cup,08-12-2022,266889
2022_FIFA_World_Cup,09-12-2022,743922
2022_FIFA_World_Cup,10-12-2022,1134709
2022_FIFA_World_Cup,11-12-2022,609202
2022_FIFA_World_Cup,12-12-2022,333900
2022_FIFA_World_Cup,13-12-2022,661431
2022_FIFA_World_Cup,14-12-2022,721855
2022_FIFA_World_Cup,15-12-2022,440828
2022_FIFA_World_Cup,16-12-2022,253911
2022_FIFA_World_Cup,17-12-2022,458970
2022_FIFA_World_Cup,18-12-2022,1738398
2022_FIFA_World_Cup,19-12-2022,729397
2022_FIFA_World_Cup,20-12-2022,256515
2022_FIFA_World_Cup,21-12-2022,167089
2022_FIFA_World_Cup,22-12-2022,123244
2022_FIFA_World_Cup,23-12-2022,96523
2022_FIFA_World_Cup,24-12-2022,80824
2022_FIFA_World_Cup,25-12-2022,72171
2022_FIFA_World_Cup,26-12-2022,71844
2022_FIFA_World_Cup,27-12-2022,70306
2022_FIFA_World_Cup,28-12-2022,65129
2022_FIFA_World_Cup,29-12-2022,65470
2022_FIFA_World_Cup,30-12-2022,67006
2022_FIFA_World_Cup,31-12-2022,58614
2022_FIFA_World_Cup,01-01-2023,53273
2022_FIFA_World_Cup,02-01-2023,54827
2022_FIFA_World_Cup,03-01-2023,56885
2022_FIFA_World_Cup,04-01-2023,47237
2022_FIFA_World_Cup,05-01-2023,51073
2022_FIFA_World_Cup,06-01-2023,41818
2022_FIFA_World_Cup,07-01-2023,43689
2022_FIFA_World_Cup,08-01-2023,45231
2022_FIFA_World_Cup,09-01-2023,47632
2022_FIFA_World_Cup,10-01-2023,47368
2022_FIFA_World_Cup,11-01-2023,42054
2022_FIFA_World_Cup,12-01-2023,40070
Jenna_Ortega,12-11-2022,9681
Jenna_Ortega,13-11-2022,10102
Jenna_Ortega,14-11-2022,10046
Jenna_Ortega,15-11-2022,9798
Jenna_Ortega,16-11-2022,17797
Jenna_Ortega,17-11-2022,22201
Jenna_Ortega,18-11-2022,28212
Jenna_Ortega,19-11-2022,32087
Jenna_Ortega,20-11-2022,25043
Jenna_Ortega,21-11-2022,25238
Jenna_Ortega,22-11-2022,36110
Jenna_Ortega,23-11-2022,162585
Jenna_Ortega,24-11-2022,333594
Jenna_Ortega,25-11-2022,393488
Jenna_Ortega,26-11-2022,524029
Jenna_Ortega,27-11-2022,573673
Jenna_Ortega,28-11-2022,527857
Jenna_Ortega,29-11-2022,494059
Jenna_Ortega,30-11-2022,511809
Jenna_Ortega,01-12-2022,464922
Jenna_Ortega,02-12-2022,367041
Jenna_Ortega,03-12-2022,371686
Jenna_Ortega,04-12-2022,386403
Jenna_Ortega,05-12-2022,336427
Jenna_Ortega,06-12-2022,346741
Jenna_Ortega,07-12-2022,344743
Jenna_Ortega,08-12-2022,302758
Jenna_Ortega,09-12-2022,285225
Jenna_Ortega,10-12-2022,307748
Jenna_Ortega,11-12-2022,330828
Jenna_Ortega,12-12-2022,291626
Jenna_Ortega,13-12-2022,256462
Jenna_Ortega,14-12-2022,233539
Jenna_Ortega,15-12-2022,211835
Jenna_Ortega,16-12-2022,187722
Jenna_Ortega,17-12-2022,237235
Jenna_Ortega,18-12-2022,231052
Jenna_Ortega,19-12-2022,202831
Jenna_Ortega,20-12-2022,180217
Jenna_Ortega,21-12-2022,163693
Jenna_Ortega,22-12-2022,153376
Jenna_Ortega,23-12-2022,146702
Jenna_Ortega,24-12-2022,136101
Jenna_Ortega,25-12-2022,124503
Jenna_Ortega,26-12-2022,138523
Jenna_Ortega,27-12-2022,142572
Jenna_Ortega,28-12-2022,146218
Jenna_Ortega,29-12-2022,142003
Jenna_Ortega,30-12-2022,132040
Jenna_Ortega,31-12-2022,123131
Jenna_Ortega,01-01-2023,126491
Jenna_Ortega,02-01-2023,137463
Jenna_Ortega,03-01-2023,120608
Jenna_Ortega,04-01-2023,105421
Jenna_Ortega,05-01-2023,101554
Jenna_Ortega,06-01-2023,103702
Jenna_Ortega,07-01-2023,112786
Jenna_Ortega,08-01-2023,110975
Jenna_Ortega,09-01-2023,93203
Jenna_Ortega,10-01-2023,83853
Jenna_Ortega,11-01-2023,151056
Jenna_Ortega,12-01-2023,109363
Brock_Purdy,12-11-2022,1554
Brock_Purdy,13-11-2022,724
Brock_Purdy,14-11-2022,1692
Brock_Purdy,15-11-2022,540
Brock_Purdy,16-11-2022,433
Brock_Purdy,17-11-2022,366
Brock_Purdy,18-11-2022,428
Brock_Purdy,19-11-2022,379
Brock_Purdy,20-11-2022,716
Brock_Purdy,21-11-2022,742
Brock_Purdy,22-11-2022,7276
Brock_Purdy,23-11-2022,1650
Brock_Purdy,24-11-2022,1314
Brock_Purdy,25-11-2022,1114
Brock_Purdy,26-11-2022,1109
Brock_Purdy,27-11-2022,1033
Brock_Purdy,28-11-2022,963
Brock_Purdy,29-11-2022,746
Brock_Purdy,30-11-2022,475
Brock_Purdy,01-12-2022,455
Brock_Purdy,02-12-2022,448
Brock_Purdy,03-12-2022,394
Brock_Purdy,04-12-2022,59100
Brock_Purdy,05-12-2022,150646
Brock_Purdy,06-12-2022,47738
Brock_Purdy,07-12-2022,20920
Brock_Purdy,08-12-2022,18732
Brock_Purdy,09-12-2022,16227
Brock_Purdy,10-12-2022,10142
Brock_Purdy,11-12-2022,256944
Brock_Purdy,12-12-2022,253914
Brock_Purdy,13-12-2022,58057
Brock_Purdy,14-12-2022,21769
Brock_Purdy,15-12-2022,22057
Brock_Purdy,16-12-2022,174407
Brock_Purdy,17-12-2022,28019
Brock_Purdy,18-12-2022,14812
Brock_Purdy,19-12-2022,11268
Brock_Purdy,20-12-2022,9632
Brock_Purdy,21-12-2022,7221
Brock_Purdy,22-12-2022,5801
Brock_Purdy,23-12-2022,6584
Brock_Purdy,24-12-2022,16686
Brock_Purdy,25-12-2022,22929
Brock_Purdy,26-12-2022,13928
Brock_Purdy,27-12-2022,12498
Brock_Purdy,28-12-2022,10070
Brock_Purdy,29-12-2022,7944
Brock_Purdy,30-12-2022,8040
Brock_Purdy,31-12-2022,7465
Brock_Purdy,01-01-2023,20597
Brock_Purdy,02-01-2023,34585
Brock_Purdy,03-01-2023,9612
Brock_Purdy,04-01-2023,6886
Brock_Purdy,05-01-2023,5002
Brock_Purdy,06-01-2023,5191
Brock_Purdy,07-01-2023,5304
Brock_Purdy,08-01-2023,18938
Brock_Purdy,09-01-2023,35265
Brock_Purdy,10-01-2023,19772
Brock_Purdy,11-01-2023,12577
Brock_Purdy,12-01-2023,13954
Mike_Leach_(American_football_coach),12-11-2022,1753
Mike_Leach_(American_football_coach),13-11-2022,13917
Mike_Leach_(American_football_coach),14-11-2022,2045
Mike_Leach_(American_football_coach),15-11-2022,1453
Mike_Leach_(American_football_coach),16-11-2022,1053
Mike_Leach_(American_football_coach),17-11-2022,952
Mike_Leach_(American_football_coach),18-11-2022,876
Mike_Leach_(American_football_coach),19-11-2022,1597
Mike_Leach_(American_football_coach),20-11-2022,2431
Mike_Leach_(American_football_coach),21-11-2022,1457
Mike_Leach_(American_football_coach),22-11-2022,1641
Mike_Leach_(American_football_coach),23-11-2022,1487
Mike_Leach_(American_football_coach),24-11-2022,2329
Mike_Leach_(American_football_coach),25-11-2022,20951
Mike_Leach_(American_football_coach),26-11-2022,3580
Mike_Leach_(American_football_coach),27-11-2022,5533
Mike_Leach_(American_football_coach),28-11-2022,2064
Mike_Leach_(American_football_coach),29-11-2022,1572
Mike_Leach_(American_football_coach),30-11-2022,1133
Mike_Leach_(American_football_coach),01-12-2022,1013
Mike_Leach_(American_football_coach),02-12-2022,999
Mike_Leach_(American_football_coach),03-12-2022,1490
Mike_Leach_(American_football_coach),04-12-2022,1217
Mike_Leach_(American_football_coach),05-12-2022,1308
Mike_Leach_(American_football_coach),06-12-2022,927
Mike_Leach_(American_football_coach),07-12-2022,927
Mike_Leach_(American_football_coach),08-12-2022,3953
Mike_Leach_(American_football_coach),09-12-2022,1588
Mike_Leach_(American_football_coach),10-12-2022,1280
Mike_Leach_(American_football_coach),11-12-2022,4963
Mike_Leach_(American_football_coach),12-12-2022,234499
Mike_Leach_(American_football_coach),13-12-2022,565636
Mike_Leach_(American_football_coach),14-12-2022,232912
Mike_Leach_(American_football_coach),15-12-2022,71289
Mike_Leach_(American_football_coach),16-12-2022,37316
Mike_Leach_(American_football_coach),17-12-2022,24601
Mike_Leach_(American_football_coach),18-12-2022,24953
Mike_Leach_(American_football_coach),19-12-2022,11189
Mike_Leach_(American_football_coach),20-12-2022,15755
Mike_Leach_(American_football_coach),21-12-2022,20248
Mike_Leach_(American_football_coach),22-12-2022,9173
Mike_Leach_(American_football_coach),23-12-2022,10131
Mike_Leach_(American_football_coach),24-12-2022,19359
Mike_Leach_(American_football_coach),25-12-2022,8389
Mike_Leach_(American_football_coach),26-12-2022,5721
Mike_Leach_(American_football_coach),27-12-2022,6140
Mike_Leach_(American_football_coach),28-12-2022,6409
Mike_Leach_(American_football_coach),29-12-2022,22173
Mike_Leach_(American_football_coach),30-12-2022,9897
Mike_Leach_(American_football_coach),31-12-2022,12225
Mike_Leach_(American_football_coach),01-01-2023,12284
Mike_Leach_(American_football_coach),02-01-2023,46490
Mike_Leach_(American_football_coach),03-01-2023,15384
Mike_Leach_(American_football_coach),04-01-2023,4557
Mike_Leach_(American_football_coach),05-01-2023,3470
Mike_Leach_(American_football_coach),06-01-2023,2961
Mike_Leach_(American_football_coach),07-01-2023,2550
Mike_Leach_(American_football_coach),08-01-2023,3106
Mike_Leach_(American_football_coach),09-01-2023,2610
Mike_Leach_(American_football_coach),10-01-2023,3239
Mike_Leach_(American_football_coach),11-01-2023,2166
Mike_Leach_(American_football_coach),12-01-2023,2313
Cristiano_Ronaldo,12-11-2022,55782
Cristiano_Ronaldo,13-11-2022,85451
Cristiano_Ronaldo,14-11-2022,167842
Cristiano_Ronaldo,15-11-2022,129640
Cristiano_Ronaldo,16-11-2022,140721
Cristiano_Ronaldo,17-11-2022,151948
Cristiano_Ronaldo,18-11-2022,146496
Cristiano_Ronaldo,19-11-2022,133486
Cristiano_Ronaldo,20-11-2022,181159
Cristiano_Ronaldo,21-11-2022,172671
Cristiano_Ronaldo,22-11-2022,391956
Cristiano_Ronaldo,23-11-2022,346129
Cristiano_Ronaldo,24-11-2022,569716
Cristiano_Ronaldo,25-11-2022,299592
Cristiano_Ronaldo,26-11-2022,268651
Cristiano_Ronaldo,27-11-2022,236574
Cristiano_Ronaldo,28-11-2022,325107
Cristiano_Ronaldo,29-11-2022,227482
Cristiano_Ronaldo,30-11-2022,215303
Cristiano_Ronaldo,01-12-2022,169060
Cristiano_Ronaldo,02-12-2022,144532
Cristiano_Ronaldo,03-12-2022,177097
Cristiano_Ronaldo,04-12-2022,152699
Cristiano_Ronaldo,05-12-2022,155605
Cristiano_Ronaldo,06-12-2022,292303
Cristiano_Ronaldo,07-12-2022,192484
Cristiano_Ronaldo,08-12-2022,120160
Cristiano_Ronaldo,09-12-2022,184348
Cristiano_Ronaldo,10-12-2022,563504
Cristiano_Ronaldo,11-12-2022,417441
Cristiano_Ronaldo,12-12-2022,231520
Cristiano_Ronaldo,13-12-2022,237299
Cristiano_Ronaldo,14-12-2022,245009
Cristiano_Ronaldo,15-12-2022,177543
Cristiano_Ronaldo,16-12-2022,138523
Cristiano_Ronaldo,17-12-2022,135933
Cristiano_Ronaldo,18-12-2022,489498
Cristiano_Ronaldo,19-12-2022,478190
Cristiano_Ronaldo,20-12-2022,261346
Cristiano_Ronaldo,21-12-2022,189347
Cristiano_Ronaldo,22-12-2022,162338
Cristiano_Ronaldo,23-12-2022,130289
Cristiano_Ronaldo,24-12-2022,108339
Cristiano_Ronaldo,25-12-2022,99373
Cristiano_Ronaldo,26-12-2022,117525
Cristiano_Ronaldo,27-12-2022,122162
Cristiano_Ronaldo,28-12-2022,103890
Cristiano_Ronaldo,29-12-2022,100696
Cristiano_Ronaldo,30-12-2022,228542
Cristiano_Ronaldo,31-12-2022,322605
Cristiano_Ronaldo,01-01-2023,155715
Cristiano_Ronaldo,02-01-2023,142369
Cristiano_Ronaldo,03-01-2023,158898
Cristiano_Ronaldo,04-01-2023,149935
Cristiano_Ronaldo,05-01-2023,116965
Cristiano_Ronaldo,06-01-2023,103538
Cristiano_Ronaldo,07-01-2023,124549
Cristiano_Ronaldo,08-01-2023,98456
Cristiano_Ronaldo,09-01-2023,84159
Cristiano_Ronaldo,10-01-2023,71438
Cristiano_Ronaldo,11-01-2023,64686
Cristiano_Ronaldo,12-01-2023,64585
Wednesday_(TV_series),12-11-2022,7168
Wednesday_(TV_series),13-11-2022,8321
Wednesday_(TV_series),14-11-2022,8093
Wednesday_(TV_series),15-11-2022,7759
Wednesday_(TV_series),16-11-2022,10586
Wednesday_(TV_series),17-11-2022,12840
Wednesday_(TV_series),18-11-2022,18400
Wednesday_(TV_series),19-11-2022,22893
Wednesday_(TV_series),20-11-2022,17425
Wednesday_(TV_series),21-11-2022,17807
Wednesday_(TV_series),22-11-2022,23322
Wednesday_(TV_series),23-11-2022,242446
Wednesday_(TV_series),24-11-2022,433972
Wednesday_(TV_series),25-11-2022,433551
Wednesday_(TV_series),26-11-2022,541011
Wednesday_(TV_series),27-11-2022,570947
Wednesday_(TV_series),28-11-2022,492835
Wednesday_(TV_series),29-11-2022,442475
Wednesday_(TV_series),30-11-2022,455685
Wednesday_(TV_series),01-12-2022,396733
Wednesday_(TV_series),02-12-2022,272032
Wednesday_(TV_series),03-12-2022,294588
Wednesday_(TV_series),04-12-2022,306929
Wednesday_(TV_series),05-12-2022,255312
Wednesday_(TV_series),06-12-2022,221672
Wednesday_(TV_series),07-12-2022,219847
Wednesday_(TV_series),08-12-2022,204957
Wednesday_(TV_series),09-12-2022,186392
Wednesday_(TV_series),10-12-2022,223267
Wednesday_(TV_series),11-12-2022,247693
Wednesday_(TV_series),12-12-2022,212511
Wednesday_(TV_series),13-12-2022,186503
Wednesday_(TV_series),14-12-2022,177834
Wednesday_(TV_series),15-12-2022,162703
Wednesday_(TV_series),16-12-2022,148900
Wednesday_(TV_series),17-12-2022,162955
Wednesday_(TV_series),18-12-2022,156019
Wednesday_(TV_series),19-12-2022,139983
Wednesday_(TV_series),20-12-2022,126137
Wednesday_(TV_series),21-12-2022,119247
Wednesday_(TV_series),22-12-2022,112057
Wednesday_(TV_series),23-12-2022,109350
Wednesday_(TV_series),24-12-2022,104905
Wednesday_(TV_series),25-12-2022,107985
Wednesday_(TV_series),26-12-2022,119047
Wednesday_(TV_series),27-12-2022,121997
Wednesday_(TV_series),28-12-2022,115208
Wednesday_(TV_series),29-12-2022,111226
Wednesday_(TV_series),30-12-2022,109956
Wednesday_(TV_series),31-12-2022,99861
Wednesday_(TV_series),01-01-2023,104276
Wednesday_(TV_series),02-01-2023,113855
Wednesday_(TV_series),03-01-2023,103453
Wednesday_(TV_series),04-01-2023,87624
Wednesday_(TV_series),05-01-2023,80591
Wednesday_(TV_series),06-01-2023,83172
Wednesday_(TV_series),07-01-2023,91725
Wednesday_(TV_series),08-01-2023,89847
Wednesday_(TV_series),09-01-2023,76865
Wednesday_(TV_series),10-01-2023,70432
Wednesday_(TV_series),11-01-2023,71754
Wednesday_(TV_series),12-01-2023,64741
Tammy_Wynette,12-11-2022,15601
Tammy_Wynette,13-11-2022,16218
Tammy_Wynette,14-11-2022,33691
Tammy_Wynette,15-11-2022,13346
Tammy_Wynette,16-11-2022,11560
Tammy_Wynette,17-11-2022,9849
Tammy_Wynette,18-11-2022,7621
Tammy_Wynette,19-11-2022,10123
Tammy_Wynette,20-11-2022,8214
Tammy_Wynette,21-11-2022,13776
Tammy_Wynette,22-11-2022,10453
Tammy_Wynette,23-11-2022,10646
Tammy_Wynette,24-11-2022,13189
Tammy_Wynette,25-11-2022,13393
Tammy_Wynette,26-11-2022,15128
Tammy_Wynette,27-11-2022,20457
Tammy_Wynette,28-11-2022,18393
Tammy_Wynette,29-11-2022,17881
Tammy_Wynette,30-11-2022,13905
Tammy_Wynette,01-12-2022,12355
Tammy_Wynette,02-12-2022,16716
Tammy_Wynette,03-12-2022,16168
Tammy_Wynette,04-12-2022,29111
Tammy_Wynette,05-12-2022,292582
Tammy_Wynette,06-12-2022,76865
Tammy_Wynette,07-12-2022,44799
Tammy_Wynette,08-12-2022,35545
Tammy_Wynette,09-12-2022,30681
Tammy_Wynette,10-12-2022,59676
Tammy_Wynette,11-12-2022,57827
Tammy_Wynette,12-12-2022,195923
Tammy_Wynette,13-12-2022,55805
Tammy_Wynette,14-12-2022,36612
Tammy_Wynette,15-12-2022,32092
Tammy_Wynette,16-12-2022,25090
Tammy_Wynette,17-12-2022,33745
Tammy_Wynette,18-12-2022,39667
Tammy_Wynette,19-12-2022,46247
Tammy_Wynette,20-12-2022,31706
Tammy_Wynette,21-12-2022,23030
Tammy_Wynette,22-12-2022,17875
Tammy_Wynette,23-12-2022,22251
Tammy_Wynette,24-12-2022,30750
Tammy_Wynette,25-12-2022,23052
Tammy_Wynette,26-12-2022,43237
Tammy_Wynette,27-12-2022,36088
Tammy_Wynette,28-12-2022,28910
Tammy_Wynette,29-12-2022,21979
Tammy_Wynette,30-12-2022,27939
Tammy_Wynette,31-12-2022,40825
Tammy_Wynette,01-01-2023,33107
Tammy_Wynette,02-01-2023,66704
Tammy_Wynette,03-01-2023,44597
Tammy_Wynette,04-01-2023,32080
Tammy_Wynette,05-01-2023,24073
Tammy_Wynette,06-01-2023,27106
Tammy_Wynette,07-01-2023,43540
Tammy_Wynette,08-01-2023,47176
Tammy_Wynette,09-01-2023,62894
Tammy_Wynette,10-01-2023,44605
Tammy_Wynette,11-01-2023,32185
Tammy_Wynette,12-01-2023,25493
